name|Current price|EBIT|Enterprise Value|Return on capital employed|Return on invested capital|Debt to equity|Market Capitalization|Net block preceding year|Working capital|Price to book value|Price to Earning|Earnings yield

TCS|2,445.35|32,582.97|4,75,391.37|80.64|91.83|0.00|4,81,838.60|11,638.17|19,276.80|6.72|19.40|6.85
Reliance Inds.|1,012.20|40,289.00|4,14,276.41|20.23|33.00|0.45|3,28,227.41|1,09,406.00|-16,948.00|1.34|11.50|9.73
HDFC Bank|1,223.70|51,267.87|8,70,738.14|95.87|92.84|8.25|3,10,214.32|3,121.73|40,297.55|4.27|25.23|5.89
ITC|248.85|15,007.52|3,00,576.59|77.06|85.42|0.00|3,00,610.09|14,178.49|1,253.58|9.14|30.54|4.99
Infosys|1,072.55|19,339.00|2,13,661.80|34.88|33.65|0.00|2,46,358.80|11,346.00|35,022.00|4.02|17.73|9.05
H D F C|1,364.10|31,956.09|4,61,462.25|242.43|230.44|4.91|2,15,807.72|1,470.23|12,284.06|4.25|21.18|6.92
Hind. Unilever|941.50|5,870.77|2,03,129.18|654.96|480.00|0.00|2,03,763.73|2,457.53|-1,818.84|55.27|49.60|2.89
Coal India|318.85|21,609.73|1,92,116.21|21.20|22.06|0.01|2,01,397.14|14,784.39|55,596.22|3.69|14.14|11.25
O N G C|230.25|30,232.75|2,37,937.98|34.55|30.21|0.30|1,96,990.16|64,655.28|-8,695.66|1.09|10.63|12.71
Sun Pharma.Inds.|770.40|7,242.17|1,87,126.88|23.98|20.73|0.35|1,85,416.33|6,817.28|20,030.84|6.12|35.45|3.87
St Bk of India|231.50|1,61,224.14|24,87,620.77|99.70|89.82|14.02|1,79,708.29|12,924.20|1,07,280.85|1.00|14.70|6.48
Tata Motors|494.00|1,631.50|1,74,144.96|-4.02|-4.12|0.71|1,58,469.45|15,783.23|-3,581.84|7.09|601.12|0.94

ICICI Bank|265.75|43,711.11|6,90,949.05|35.70|31.44|6.86|1,54,584.70|4,725.52|82,716.01|1.78|13.27|6.33
Bharti Airtel|378.90|18,094.00|2,17,970.19|11.58|12.33|1.07|1,51,461.49|1,40,614.50|-20,383.90|2.25|31.17|8.30
Larsen & Toubro|1,585.85|11,135.87|2,32,655.20|19.06|13.82|2.22|1,47,802.49|32,397.46|34,922.56|3.21|30.53|4.79
Kotak Mah. Bank|772.15|16,146.71|3,09,828.34|85.84|63.42|5.39|1,41,749.20|1,384.97|11,758.75|4.25|40.98|5.21
Wipro|554.50|12,030.10|1,39,619.24|23.97|23.75|0.28|1,37,001.84|10,837.10|24,853.20|3.07|15.41|8.62
Maruti Suzuki|4,472.05|6,616.56|1,35,588.99|48.95|72.17|0.02|1,35,091.69|10,790.40|-3,731.70|4.78|29.55|4.88
Axis Bank|565.05|36,548.82|5,58,776.44|55.74|55.05|8.60|1,34,907.94|2,413.05|46,055.75|2.54|16.40|6.54
NTPC|156.25|13,289.03|2,01,725.24|11.99|13.36|1.05|1,28,835.31|72,110.83|11,449.79|1.40|12.58|6.59
I O C L|478.35|18,839.60|1,71,274.10|6.35|20.60|0.81|1,16,140.99|62,948.79|7,652.30|1.48|11.90|11.00
HCL Technologies|717.50|9,278.24|1,00,531.01|39.90|37.26|0.03|1,01,221.77|7,443.94|13,608.75|3.39|13.52|9.23
Asian Paints|1,025.90|2,668.92|97,116.93|67.16|62.93|0.06|98,404.33|2,660.04|518.83|17.56|55.86|2.75

UltraTech Cem.|3,531.35|3,562.25|1,02,492.15|17.57|16.29|0.37|96,913.81|20,947.46|-2,103.18|4.67|44.57|3.48
M & M|1,464.80|7,611.78|1,32,155.32|17.38|16.20|1.54|90,977.61|19,046.74|21,085.73|3.18|28.65|5.76
Power Grid Corpn|164.25|12,641.70|1,78,910.44|13.04|15.44|2.49|85,928.87|73,154.07|-10,904.05|1.94|14.26|7.07
Hind.Zinc|196.15|8,627.31|NaN|295.56|-99.99|0.00|82,879.26|9,446.17|-15,839.89|2.22|10.15|NaN
B P C L|554.75|11,214.12|91,969.81|32.97|73.46|0.58|80,226.20|19,039.51|-7,788.80|2.68|10.79|12.19
Bajaj Auto|2,695.60|5,385.66|77,347.51|270.28|195.79|0.01|78,002.58|1,917.24|258.66|6.35|21.36|6.96
Lupin|1,670.15|3,477.65|81,680.29|29.77|21.84|0.65|75,304.28|4,368.19|6,069.53|6.86|33.16|4.26
Bosch|23,907.60|1,863.74|75,051.66|33.38|32.37|0.02|75,069.86|938.10|3,585.60|8.74|60.25|2.48
IndusInd Bank|1,126.80|10,929.71|1,72,187.26|53.86|56.30|6.66|67,142.92|1,119.56|11,963.21|3.74|27.71|6.35
Bharti Infra.|353.30|1,984.80|67,003.05|27.04|27.79|0.00|67,009.25|6,685.50|-1,627.50|3.47|50.63|2.96
Hero Motocorp|3,244.10|4,396.73|64,683.49|220.28|191.23|0.00|64,781.46|2,243.25|-818.08|6.70|20.68|6.80

Nestle India|6,632.95|751.18|62,500.22|24.35|22.99|0.01|63,954.90|3,176.64|-151.25|20.79|64.77|1.20
Dr Reddy's Labs|3,588.00|2,984.79|64,039.82|21.39|24.07|0.29|61,246.42|5,377.00|5,380.30|5.23|30.60|4.66
Dabur India|312.00|1,605.26|55,612.35|59.55|57.57|0.19|54,958.58|1,877.13|457.61|13.21|43.87|2.89
Shree Cement|15,698.45|663.42|55,579.06|10.06|11.38|0.17|54,693.40|2,193.77|1,426.24|9.54|93.73|1.19
Godrej Consumer|1,599.05|1,576.16|56,783.29|21.00|19.40|0.57|54,453.06|5,550.95|1,392.07|10.68|47.74|2.78
